Catcode,Catname,Catorder,Industry,Sector,"Sector Long",Catgroup
G6400,"Professional sports, arenas & related equip & svcs",N06,Recreation/Live Entertainment,Misc Business,"Misc Business",Private Sector
G6500,"Casinos, racetracks & gambling",N07,Casinos/Gambling,Misc Business,"Misc Business",Private Sector
G6550,Indian Gaming,N07,Casinos/Gambling,Misc Business,"Misc Business",Private Sector
G6700,Amusement parks,N06,Recreation/Live Entertainment,Misc Business,"Misc Business",Private Sector
G6800,Video rental,N04,Misc Services,Misc Business,"Misc Business",Private Sector
G7000,Correctional facilities constr & mgmt/for-profit,N12,Misc Business,Misc Business,"Misc Business",Private Sector
H0000,"Health, Education & Human Resources",H05,Misc Health,Health,"Health",Private Sector
H1000,Health professionals,H01,Health Professionals,Health,"Health",Private Sector
H1100,Physicians,H01,Health Professionals,Health,"Health",Private Sector
H1110,Psychiatrists & psychologists,H01,Health Professionals,Health,"Health",Private Sector
H1120,Optometrists & Ophthalmologists,H01,Health Professionals,Health,"Health",Private Sector
H1130,Other physician specialists,H01,Health Professionals,Health,"Health",Private Sector
H1400,Dentists,H01,Health Professionals,Health,"Health",Private Sector
H1500,Chiropractors,H01,Health Professionals,Health,"Health",Private Sector
H1700,Other non-physician health practitioners,H01,Health Professionals,Health,"Health",Private Sector
H1710,Nurses,H01,Health Professionals,Health,"Health",Private Sector
H1750,Pharmacists,H01,Health Professionals,Health,"Health",Private Sector
H2000,Health care institutions,H02,Hospitals/Nursing Homes,Health,"Health",Private Sector
H2100,Hospitals,H02,Hospitals/Nursing Homes,Health,"Health",Private Sector
H2200,Nursing homes,H02,Hospitals/Nursing Homes,Health,"Health",Private Sector
H2300,Drug & alcohol treatment hospitals,H02,Hospitals/Nursing Homes,Health,"Health",Private Sector
H3000,Health care services,H03,Health Services/HMOs,Health,"Health",Private Sector
H3100,Home care services,H03,Health Services/HMOs,Health,"Health",Private Sector
H3200,Outpatient health services (incl drug & alcohol),H03,Health Services/HMOs,Health,"Health",Private Sector
H3300,Optical services (glasses & contact lenses),H03,Health Services/HMOs,Health,"Health",Private Sector
H3400,Medical laboratories,H03,Health Services/HMOs,Health,"Health",Private Sector
H3500,AIDS treatment & testing,H03,Health Services/HMOs,Health,"Health",Private Sector
H3700,HMOs,H03,Health Services/HMOs,Health,"Health",Private Sector
H3800,Mental Health Services,H03,Health Services/HMOs,Health,"Health",Private Sector
H3900,Health care Consultants,H03,Health Services/HMOs,Health,"Health",Private Sector
H4000,Health care products,H04,Pharmaceuticals/Health Products,Health,"Health",Private Sector
H4100,Medical Devices & Supplies,H04,Pharmaceuticals/Health Products,Health,"Health",Private Sector
H4200,Personal health care products,H04,Pharmaceuticals/Health Products,Health,"Health",Private Sector
H4300,Pharmaceutical manufacturing,H04,Pharmaceuticals/Health Products,Health,"Health",Private Sector
H4400,Pharmaceutical wholesale,H04,Pharmaceuticals/Health Products,Health,"Health",Private Sector
H4500,Biotech products & research,H04,Pharmaceuticals/Health Products,Health,"Health",Private Sector
H4600,Nutritional & dietary supplements,H04,Pharmaceuticals/Health Products,Health,"Health",Private Sector
H4700,Pharmaceutical cannabis,H04,Pharmaceuticals/Health Products,Health,"Health",Private Sector
H5000,Education,W04,Education,Other,"Other",Public Sector
H5100,Schools & colleges,W04,Education,Other,"Other",Public Sector
H5150,Medical schools,W04,Education,Other,"Other",Public Sector
H5170,Law schools,W04,Education,Other,"Other",Public Sector
H5200,"Technical, business and vocational schools & svcs",W04,Education,Other,"Other",Public Sector
H5300,For-profit Education,W04,Education,Other,"Other",Public Sector
H6000,Welfare & Social Work,W07,Other,Other,"Other",Public Sector
J0000,Ideological & Single Issue PACs,Q10,Misc Issues,Ideology/Single-Issue,"Ideological/Single-Issue",PAC
J1000,General Ideological,Q10,Misc Issues,Ideology/Single-Issue,"Ideological/Single-Issue",PAC
J1100,Republican/Conservative,Q01,Republican/Conservative,Ideology/Single-Issue,"Ideological/Single-Issue",PAC
J1110,Christian Conservative,Q01,Republican/Conservative,Ideology/Single-Issue,"Ideological/Single-Issue",PAC
J1200,Democratic/Liberal,Q02,Democratic/Liberal,Ideology/Single-Issue,"Ideological/Single-Issue",PAC
J1300,Third-party committees,Q10,Misc Issues,Ideology/Single-Issue,"Ideological/Single-Issue",PAC
J2000,Leadership committees,Q03,Leadership PACs,Ideology/Single-Issue,"Ideological/Single-Issue",PAC
J2100,Democratic leadership PAC,Q03,Leadership PACs,Ideology/Single-Issue,"Ideological/Single-Issue",PAC
J2200,Republican leadership PAC,Q03,Leadership PACs,Ideology/Single-Issue,"Ideological/Single-Issue",PAC
J2300,"Democratic officials, candidates & former members",Q03,Leadership PACs,Ideology/Single-Issue,"Ideological/Single-Issue",PAC
J2400,"Republican officials, candidates & former members",Q03,Leadership PACs,Ideology/Single-Issue,"Ideological/Single-Issue",PAC
J2500,Non-Federal candidate committees,Q03,Leadership PACs,Ideology/Single-Issue,"Ideological/Single-Issue",PAC
J3000,Consumer groups,Q10,Misc Issues,Ideology/Single-Issue,"Ideological/Single-Issue",PAC
J4000,Fiscal & tax policy,Q10,Misc Issues,Ideology/Single-Issue,"Ideological/Single-Issue",PAC
J5000,Foreign policy,Q04,Foreign & Defense Policy,Ideology/Single-Issue,"Ideological/Single-Issue",PAC
J5100,Pro-Israel,Q05,Pro-Israel,Ideology/Single-Issue,"Ideological/Single-Issue",PAC
J5200,Anti-Castro,Q04,Foreign & Defense Policy,Ideology/Single-Issue,"Ideological/Single-Issue",PAC
J5300,Puerto Rico statehood policy,Q04,Foreign & Defense Policy,Ideology/Single-Issue,"Ideological/Single-Issue",PAC
J5400,Pro-Arab,Q04,Foreign & Defense Policy,Ideology/Single-Issue,"Ideological/Single-Issue",PAC
J6100,Anti-Guns,Q12,Gun Control,Ideology/Single-Issue,"Ideological/Single-Issue",PAC
J6200,Pro-Guns,Q13,Gun Rights,Ideology/Single-Issue,"Ideological/Single-Issue",PAC
J6500,Militias & Anti-Government Groups,Q10,Misc Issues,Ideology/Single-Issue,"Ideological/Single-Issue",PAC
J7000,Human Rights,Q09,Human Rights,Ideology/Single-Issue,"Ideological/Single-Issue",PAC
J7120,Abortion policy/Anti-Abortion,Q14,Abortion Policy/Anti-Abortion,Ideology/Single-Issue,"Ideological/Single-Issue",PAC
J7150,Abortion policy/Pro-Abortion Rights,Q15,Abortion Policy/Pro-Abortion Rights,Ideology/Single-Issue,"Ideological/Single-Issue",PAC
J7200,Elderly issues/Social Security,Q10,Misc Issues,Ideology/Single-Issue,"Ideological/Single-Issue",PAC
J7210,Legalization of Doctor-Assisted Suicide,Q10,Misc Issues,Ideology/Single-Issue,"Ideological/Single-Issue",PAC
J7300,Gay & lesbian rights & issues,Q09,Human Rights,Ideology/Single-Issue,"Ideological/Single-Issue",PAC
J7400,Women's issues,Q08,Women's Issues,Ideology/Single-Issue,"Ideological/Single-Issue",PAC
J7500,Minority/Ethnic Groups,Q09,Human Rights,Ideology/Single-Issue,"Ideological/Single-Issue",PAC
J7510,Native American Tribes,Q09,Human Rights,Ideology/Single-Issue,"Ideological/Single-Issue",PAC
J7600,Animal Rights,Q10,Misc Issues,Ideology/Single-Issue,"Ideological/Single-Issue",PAC
J7700,Children's rights,Q09,Human Rights,Ideology/Single-Issue,"Ideological/Single-Issue",PAC
J8000,"Labor, anti-union",Q10,Misc Issues,Ideology/Single-Issue,"Ideological/Single-Issue",PAC
J9000,Other single-issue or ideological groups,Q10,Misc Issues,Ideology/Single-Issue,"Ideological/Single-Issue",PAC
J9100,Term limits,Q10,Misc Issues,Ideology/Single-Issue,"Ideological/Single-Issue",PAC
JD100,"Defense policy, hawks",Q04,Foreign & Defense Policy,Ideology/Single-Issue,"Ideological/Single-Issue",PAC
JD200,"Defense policy, doves",Q04,Foreign & Defense Policy,Ideology/Single-Issue,"Ideological/Single-Issue",PAC
JE300,Environmental policy,Q11,Environment,Ideology/Single-Issue,"Ideological/Single-Issue",PAC
JH100,Health & welfare policy,Q09,Human Rights,Ideology/Single-Issue,"Ideological/Single-Issue",PAC
JW100,Pro-resource development groups,Q10,Misc Issues,Ideology/Single-Issue,"Ideological/Single-Issue",PAC
K0000,Legal Services,K01,Lawyers/Law Firms,Lawyers & Lobbyists,"Lawyers & Lobbyists",Private Sector
K1000,Attorneys & law firms,K01,Lawyers/Law Firms,Lawyers & Lobbyists,"Lawyers & Lobbyists",Private Sector
K1100,Trial lawyers & law firms,K01,Lawyers/Law Firms,Lawyers & Lobbyists,"Lawyers & Lobbyists",Private Sector
K1200,Corporate lawyers & law firms,K01,Lawyers/Law Firms,Lawyers & Lobbyists,"Lawyers & Lobbyists",Private Sector
K2000,Lobbyists & Public Relations,K02,Lobbyists,Lawyers & Lobbyists,"Lawyers & Lobbyists",Private Sector
K2100,Registered Foreign Agents,K02,Lobbyists,Lawyers & Lobbyists,"Lawyers & Lobbyists",Private Sector
L0000,Labor Unions,P05,Misc Unions,Labor,"Labor",Public Sector
L1000,Civil service & government unions,P04,Public Sector Unions,Labor,"Labor",Public Sector
L1100,Federal employees unions,P04,Public Sector Unions,Labor,"Labor",Public Sector
L1200,State & local govt employee unions,P04,Public Sector Unions,Labor,"Labor",Public Sector
L1300,Teachers unions,P04,Public Sector Unions,Labor,"Labor",Public Sector
L1400,Police & firefighters unions & associations,P04,Public Sector Unions,Labor,"Labor",Public Sector
L1500,US Postal Service unions & associations,P04,Public Sector Unions,Labor,"Labor",Public Sector
L5000,Other unions,P05,Misc Unions,Labor,"Labor",Public Sector
LA100,Agricultural labor unions,P05,Misc Unions,Labor,"Labor",Public Sector
LB100,Building trades unions,P01,Building Trade Unions,Labor,"Labor",Public Sector
LC100,Communications & hi-tech unions,P02,Industrial Unions,Labor,"Labor",Public Sector
LC150,IBEW (Intl Brotherhood of Electrical Workers),P02,Industrial Unions,Labor,"Labor",Public Sector
LD100,Defense-related unions,P05,Misc Unions,Labor,"Labor",Public Sector
LE100,Mining unions,P02,Industrial Unions,Labor,"Labor",Public Sector
LE200,Energy-related unions (non-mining),P02,Industrial Unions,Labor,"Labor",Public Sector
LG000,General commercial unions,P05,Misc Unions,Labor,"Labor",Public Sector
LG100,Food service & related unions,P05,Misc Unions,Labor,"Labor",Public Sector
LG200,Retail trade unions,P05,Misc Unions,Labor,"Labor",Public Sector
LG300,Commercial service unions,P05,Misc Unions,Labor,"Labor",Public Sector
LG400,Entertainment unions,P05,Misc Unions,Labor,"Labor",Public Sector
LG500,Other commercial unions,P05,Misc Unions,Labor,"Labor",Public Sector
LH100,Health worker unions,P05,Misc Unions,Labor,"Labor",Public Sector
LM100,Manufacturing unions,P02,Industrial Unions,Labor,"Labor",Public Sector
LM150,Automotive Manufacturing union,P02,Industrial Unions,Labor,"Labor",Public Sector
LT000,Transportation unions,P03,Transportation Unions,Labor,"Labor",Public Sector
LT100,Air transport unions,P03,Transportation Unions,Labor,"Labor",Public Sector
LT300,Teamsters union,P03,Transportation Unions,Labor,"Labor",Public Sector
LT400,Railroad unions,P03,Transportation Unions,Labor,"Labor",Public Sector
LT500,Merchant marine & longshoremen unions,P03,Transportation Unions,Labor,"Labor",Public Sector
LT600,Other transportation unions,P03,Transportation Unions,Labor,"Labor",Public Sector
M0000,Manufacturing,N15,Misc Manufacturing & Distributing,Misc Business,"Misc Business",Private Sector
M1000,Chemicals,N13,Chemical & Related Manufacturing,Misc Business,"Misc Business",Private Sector
M1100,Explosives,N13,Chemical & Related Manufacturing,Misc Business,"Misc Business",Private Sector
M1300,Household cleansers & chemicals,N13,Chemical & Related Manufacturing,Misc Business,"Misc Business",Private Sector
M1400,Manmade fibers,N15,Misc Manufacturing & Distributing,Misc Business,"Misc Business",Private Sector
M1500,Plastics & Rubber processing & products,N13,Chemical & Related Manufacturing,Misc Business,"Misc Business",Private Sector
M1600,"Paints, Solvents & Coatings",N13,Chemical & Related Manufacturing,Misc Business,"Misc Business",Private Sector
M1700,Adhesives & Sealants,N13,Chemical & Related Manufacturing,Misc Business,"Misc Business",Private Sector
M2000,Heavy industrial manufacturing,N15,Misc Manufacturing & Distributing,Misc Business,"Misc Business",Private Sector
M2100,Steel,N14,Steel Production,Misc Business,"Misc Business",Private Sector
M2200,Smelting & non-petroleum refining,N15,Misc Manufacturing & Distributing,Misc Business,"Misc Business",Private Sector
M2250,Aluminum mining/processing,N15,Misc Manufacturing & Distributing,Misc Business,"Misc Business",Private Sector
M2300,Industrial/commercial equipment & materials,N15,Misc Manufacturing & Distributing,Misc Business,"Misc Business",Private Sector
M2400,"Recycling of metal, paper, plastics, etc.",N15,Misc Manufacturing & Distributing,Misc Business,"Misc Business",Private Sector
M3000,Personal products manufacturing,N15,Misc Manufacturing & Distributing,Misc Business,"Misc Business",Private Sector
M3100,Clothing & accessories,N15,Misc Manufacturing & Distributing,Misc Business,"Misc Business",Private Sector
M3200,Shoes & leather products,N15,Misc Manufacturing & Distributing,Misc Business,"Misc Business",Private Sector
M3300,Toiletries & cosmetics,N15,Misc Manufacturing & Distributing,Misc Business,"Misc Business",Private Sector
M3400,Jewelry,N15,Misc Manufacturing & Distributing,Misc Business,"Misc Business",Private Sector
M3500,Toys,N15,Misc Manufacturing & Distributing,Misc Business,"Misc Business",Private Sector
M3600,Sporting goods sales & manufacturing,N15,Misc Manufacturing & Distributing,Misc Business,"Misc Business",Private Sector
M4000,Household & office products,N15,Misc Manufacturing & Distributing,Misc Business,"Misc Business",Private Sector
M4100,Furniture & wood products,N15,Misc Manufacturing & Distributing,Misc Business,"Misc Business",Private Sector
M4200,Office machines,N15,Misc Manufacturing & Distributing,Misc Business,"Misc Business",Private Sector
M4300,Household appliances,N15,Misc Manufacturing & Distributing,Misc Business,"Misc Business",Private Sector
M5000,Fabricated metal products,N15,Misc Manufacturing & Distributing,Misc Business,"Misc Business",Private Sector
M5100,Hardware & tools,N15,Misc Manufacturing & Distributing,Misc Business,"Misc Business",Private Sector
M5200,"Electroplating, polishing & related services",N15,Misc Manufacturing & Distributing,Misc Business,"Misc Business",Private Sector
M5300,Small arms & ammunition,N15,Misc Manufacturing & Distributing,Misc Business,"Misc Business",Private Sector
M6000,Electrical lighting products,N15,Misc Manufacturing & Distributing,Misc Business,"Misc Business",Private Sector
M7000,"Paper, glass & packaging materials",N15,Misc Manufacturing & Distributing,Misc Business,"Misc Business",Private Sector
M7100,Paper packaging materials,N15,Misc Manufacturing & Distributing,Misc Business,"Misc Business",Private Sector
M7200,Glass products,N15,Misc Manufacturing & Distributing,Misc Business,"Misc Business",Private Sector
M7300,Metal cans & containers,N15,Misc Manufacturing & Distributing,Misc Business,"Misc Business",Private Sector
M8000,Textiles & fabrics,N16,Textiles,Misc Business,"Misc Business",Private Sector
M9000,Precision instruments,N15,Misc Manufacturing & Distributing,Misc Business,"Misc Business",Private Sector
M9100,Optical instruments & lenses,N15,Misc Manufacturing & Distributing,Misc Business,"Misc Business",Private Sector
M9200,Photographic equipment & supplies,N15,Misc Manufacturing & Distributing,Misc Business,"Misc Business",Private Sector
M9300,Clocks & watches,N15,Misc Manufacturing & Distributing,Misc Business,"Misc Business",Private Sector
T0000,Transportation,M06,Misc Transport,Transportation,"Transportation",Private Sector
T1000,Air transport,M01,Air Transport,Transportation,"Transportation",Private Sector
T1100,Airlines,M01,Air Transport,Transportation,"Transportation",Private Sector
T1200,Aircraft manufacturers,M01,Air Transport,Transportation,"Transportation",Private Sector
T1300,Aircraft parts & equipment,M01,Air Transport,Transportation,"Transportation",Private Sector
T1400,General aviation (private pilots),M01,Air Transport,Transportation,"Transportation",Private Sector
T1500,Air freight,M01,Air Transport,Transportation,"Transportation",Private Sector
T1600,Aviation services & airports,M01,Air Transport,Transportation,"Transportation",Private Sector
T1700,Space vehicles & components,M01,Air Transport,Transportation,"Transportation",Private Sector
T2000,"Automotive, Misc",M02,Automotive,Transportation,"Transportation",Private Sector
T2100,Auto manufacturers,M02,Automotive,Transportation,"Transportation",Private Sector
T2200,Truck/Automotive parts & accessories,M02,Automotive,Transportation,"Transportation",Private Sector
T2300,"Auto dealers, new & used",M02,Automotive,Transportation,"Transportation",Private Sector
T2310,"Auto dealers, foreign imports",M02,Automotive,Transportation,"Transportation",Private Sector
T2400,Auto repair,M02,Automotive,Transportation,"Transportation",Private Sector
T2500,Car rental agencies,M02,Automotive,Transportation,"Transportation",Private Sector
T3000,Trucking,M03,Trucking,Transportation,"Transportation",Private Sector
T3100,Trucking companies & services,M03,Trucking,Transportation,"Transportation",Private Sector
T3200,Truck & trailer manufacturers,M03,Trucking,Transportation,"Transportation",Private Sector
T4000,Buses & Taxis,M06,Misc Transport,Transportation,"Transportation",Private Sector
T4100,Bus services,M06,Misc Transport,Transportation,"Transportation",Private Sector
T4200,Taxicabs,M06,Misc Transport,Transportation,"Transportation",Private Sector
T5000,Railroad transportation,M04,Railroads,Transportation,"Transportation",Private Sector
T5100,Railroads,M04,Railroads,Transportation,"Transportation",Private Sector
T5200,Manufacturers of railroad equipment,M04,Railroads,Transportation,"Transportation",Private Sector
T5300,Railroad services,M04,Railroads,Transportation,"Transportation",Private Sector
T6000,Sea transport,M05,Sea Transport,Transportation,"Transportation",Private Sector
T6100,Ship building & repair,M05,Sea Transport,Transportation,"Transportation",Private Sector
T6200,Sea freight & passenger services,M05,Sea Transport,Transportation,"Transportation",Private Sector
T6250,Cruise ships & lines,M05,Sea Transport,Transportation,"Transportation",Private Sector
T7000,Freight & delivery services,M06,Misc Transport,Transportation,"Transportation",Private Sector
T7100,Express delivery services,M01,Air Transport,Transportation,"Transportation",Private Sector
T7200,Warehousing,N12,Misc Business,Misc Business,"Misc Business",Private Sector
T8000,Recreational transport,M06,Misc Transport,Transportation,"Transportation",Private Sector
T8100,"Motorcycles, snowmobiles & other motorized vehicle",M06,Misc Transport,Transportation,"Transportation",Private Sector
T8200,Motor homes & camper trailers,M06,Misc Transport,Transportation,"Transportation",Private Sector
T8300,Pleasure boats,M06,Misc Transport,Transportation,"Transportation",Private Sector
T8400,Bicycles & other non-motorized recreational transp,M06,Misc Transport,Transportation,"Transportation",Private Sector
T9000,Lodging & tourism,N08,Lodging/Tourism,Misc Business,"Misc Business",Private Sector
T9100,Hotels & motels,N08,Lodging/Tourism,Misc Business,"Misc Business",Private Sector
T9300,Resorts,N08,Lodging/Tourism,Misc Business,"Misc Business",Private Sector
T9400,Travel agents,N08,Lodging/Tourism,Misc Business,"Misc Business",Private Sector
X0000,Other,W07,Other,Other,"Other",Other
X1200,Retired,W06,Retired,Other,"Other",Individual
X3000,Civil servant/public employee,W03,Civil Servants/Public Officials,Other,"Other",Individual
X3100,Public official (elected or appointed),W03,Civil Servants/Public Officials,Other,"Other",Individual
X3200,Courts & Justice System,W03,Civil Servants/Public Officials,Other,"Other",Public Sector
X3300,Municipal & county government organizations,W03,Civil Servants/Public Officials,Other,"Other",Public Sector
X3500,"Public school teachers, administrators & officials",W04,Education,Other,"Other",Public Sector
X3700,US Postal Service,W03,Civil Servants/Public Officials,Other,"Other",Public Sector
X4000,Non-Profits,W02,Non-Profit Institutions,Other,"Other",Public Sector
X4100,Non-profit foundations,W02,Non-Profit Institutions,Other,"Other",Public Sector
X4110,Philanthropists,W02,Non-Profit Institutions,Other,"Other",Public Sector
X4200,"Museums, art galleries, libraries, etc.",W02,Non-Profit Institutions,Other,"Other",Public Sector
X5000,Military,W07,Other,Other,"Other",Public Sector
X7000,"Churches, clergy & religious organizations",W05,Clergy & Religious Organizations,Other,"Other",Public Sector
X8000,International Organizations,W07,Other,Other,"Other",Public Sector
X9000,Foreign Governments,W07,Other,Other,"Other",Public Sector
Y0000,Unknown,Y00,Unknown,Unknown,"Unknown",Other
Y1000,"Homemakers, students & other non-income earners",Y01,Homemakers/Non-income earners,Unknown,"Unknown",Individual
Y2000,No employer listed or discovered,Y02,No Employer Listed or Found,Unknown,"Unknown",Individual
Y3000,Generic occupation - impossible to assign category,Y03,Generic Occupation/Category Unknown,Unknown,"Unknown",Individual
Y4000,Employer listed but category unknown,Y04,Employer Listed/Category Unknown,Unknown,"Unknown",Individual
Z1000,Candidate Committees,Q16,Candidate Committees,Ideology/Single-Issue,"Ideological/Single-Issue",Public Sector
Z1100,Republican Candidate Committees,Q16,Candidate Committees,Ideology/Single-Issue,"Ideological/Single-Issue",Public Sector
Z1200,Democratic Candidate Committees,Q16,Candidate Committees,Ideology/Single-Issue,"Ideological/Single-Issue",Public Sector
Z1300,Third-Party Candidate Committees,Q16,Candidate Committees,Ideology/Single-Issue,"Ideological/Single-Issue",Public Sector
Z1400,Unknown-Party Candidate Committees,Q16,Candidate Committees,Ideology/Single-Issue,"Ideological/Single-Issue",Public Sector
Z4100,Republican Joint Candidate Committee,Z04,Joint Candidate Cmte,Joint Candidate Cmtes,"Joint Candidate Cmtes",Public Sector
Z4200,Democratic Joint Candidate Committee,Z04,Joint Candidate Cmte,Joint Candidate Cmtes,"Joint Candidate Cmtes",Public Sector
Z4300,Third-Party Joint Candidate Committee,Z04,Joint Candidate Cmte,Joint Candidate Cmtes,"Joint Candidate Cmtes",Public Sector
Z4400,Liberal Non-party Joint Fundraising Committee,Z04,Joint Candidate Cmte,Joint Candidate Cmtes,"Joint Candidate Cmtes",Public Sector
Z4500,Conservative Non-party Joint Fundraising Committee,Z04,Joint Candidate Cmte,Joint Candidate Cmtes,"Joint Candidate Cmtes",Public Sector
Z5000,Party Committees,Z02,Party Committees,Party Cmte,"Party Cmtes",Public Sector
Z5100,Republican Party Committees,Z02,Party Committees,Party Cmte,"Party Cmtes",Public Sector
Z5200,Democratic Party Committees,Z02,Party Committees,Party Cmte,"Party Cmtes",Public Sector
Z5300,Third-Party Party Committees,Z02,Party Committees,Party Cmte,"Party Cmtes",Public Sector
Z9000,Candidate contribution to his/her own campaign,Z07,Candidate Self-finance,Candidate,"Candidate",Public Sector
Z9100,Transfer between national party committees,Z08,Party Committee Transfer,Non-contribution,"Non-contribution",
Z9500,Transfer from intermediary ( type 24I or 24T),Z09,Non-contribution,Non-contribution,"Non-contribution",
Z9600,"Non-Contribution, Miscellaneous",Z09,Non-contribution,Non-contribution,"Non-contribution",
Z9700,Unitemized (small) contributions,Z09,Non-contribution,Non-contribution,"Non-contribution",
Z9800,Public Funding,Z09,Non-contribution,Non-contribution,"Non-contribution",
Z9999,Internal Transfer and other non-contributions,Z09,Non-contribution,Non-contribution,Non-contribution,
